City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tabou,4.423,-7.3528,25.1,87,54,0.59,CI,1675234320
1,ribeira grande,38.5167,-28.7,12.1,81,100,2.24,PT,1675234321
2,avarua,-21.2078,-159.775,26.03,78,75,6.17,CK,1675234247
3,vaini,-21.2,-175.2,28.09,83,75,4.12,TO,1675234322
4,kapaa,22.0752,-159.319,23.18,91,20,3.09,US,1675234322
5,vila velha,-20.3297,-40.2925,22.97,88,0,1.54,BR,1675234323
6,menongue,-14.6585,17.691,19.48,86,100,1.27,AO,1675234324
7,lorengau,-2.0226,147.2712,28.33,74,79,3.95,PG,1675234324
8,bengkulu,-3.8004,102.2655,28.79,71,95,5.3,ID,1675234325
9,manavalakurichi,8.1333,77.3,29.42,61,100,2.42,IN,1675234326
10,pisco,-13.7,-76.2167,22.03,83,0,2.06,PE,1675234326
11,hermanus,-34.4187,19.2345,20.45,80,25,3.35,ZA,1675234328
12,kushmurun,52.4503,64.6311,-13.26,93,39,1.79,KZ,1675234329
13,albany,42.6001,-73.9662,-6.94,60,100,0.74,US,1675234332
14,mataura,-46.1927,168.8643,16.67,99,100,1.1,NZ,1675234333
15,puerto ayora,-0.7393,-90.3518,24.19,91,15,1.55,EC,1675234309
16,hamilton,39.1834,-84.5333,-4.48,72,75,2.57,US,1675234334
17,ikalamavony,-21.15,46.5833,23.63,76,90,3.85,MG,1675234335
18,port-gentil,-0.7193,8.7815,24.98,94,20,1.54,GA,1675234336
19,korla,41.7597,86.1469,-2.59,55,7,0.94,CN,1675234336
20,mitsamiouli,-11.3847,43.2844,28.13,74,92,3.79,KM,1675234338
21,makakilo city,21.3469,-158.0858,24.2,85,20,2.06,US,1675234339
22,hobart,-42.8794,147.3294,18.92,41,20,7.72,AU,1675234310
23,thompson,55.7435,-97.8558,-34.91,75,40,1.54,CA,1675234340
24,ngara,-2.5122,30.6558,20.31,64,17,0.77,TZ,1675234340
25,busselton,-33.65,115.3333,28.65,32,0,2.21,AU,1675234341
26,jamestown,42.097,-79.2353,-7.23,85,75,2.57,US,1675234342
27,rikitea,-23.1203,-134.9692,25.76,76,16,6.89,PF,1675234342
28,bluff,-46.6,168.3333,15.88,96,100,2.52,NZ,1675234343
29,punta arenas,-53.15,-70.9167,12.06,66,75,13.38,CL,1675234000
30,clemencia,10.5665,-75.325,23.65,81,6,4.37,CO,1675234344
31,nikolskoye,59.7035,30.7861,-0.05,87,100,2.42,RU,1675234344
32,tuktoyaktuk,69.4541,-133.0374,-39.0,74,0,2.06,CA,1675234345
33,dingle,10.9995,122.6711,28.46,74,29,6.26,PH,1675234346
